,Row Number,University Name,Vice-Chancellor,Website,Year Established,Fees,State
15,57,Wesley University Ondo,Professor Tola Badejo,https://www.wesleyuni.edu.ng,2007,NULL,
16,58,"Western Delta University, Oghara Delta State",Prof. (Mrs) Olete Okobiah,https://wdu.edu.ng,2007,NULL,
12,93,"Mewar International University, Masaka, Nasarawa State",,https://www.miu.edu.ng/,2021,NULL,
0,88,"James Hope University, Lagos, Lagos State",Prof. Chukuka Enwemeka,https://jhu.edu.ng/tuition/,2021,NULL,
17,86,"NOK University, Kachia, Kaduna State",Prof. Ishaya Haruna Nock,,2021,NULL,
14,108,"European University of Nigeria, Duboyi, FCT",,https://nucis.ng/institute/european-university-of-nigeria/,2022,NULL,
18,103,"Baba Ahmed University, Kano State",,https://babaahmeduniversity.edu.ng/fees/tuition,2022,NULL,
13,102,"Sports University, Idumuje, Ugboko, Delta State",,,2022,NULL,
2,121,"Franco British International University, Kaduna State",Prof. Abdullahi Sabo Muhammad,https://fbiu.edu.ng/,2023,NULL,
1,116,"PeaceLand University, Enugu State",,,2023,NULL,
3,123,"Gerar University of Medical Science Imope Ijebu, Ogun State.",,,2023,NULL,
4,134,"The Duke Medical University, Calabar, Cross River State",,,2023,NULL,
5,135,"Mercy Medical University, Iwo, Ogun State",,,2023,NULL,
6,136,Cosmopolitan University Abuja,,,2023,NULL,
7,139,"West Midlands Open University, Ibadan, Oyo State",,,2023,NULL,
8,142,"College of Petroleum and Energy Studies, Kaduna State",,,2023,NULL,
9,146,"Al-Bayan University, Ankpa, Kogi State",,,2023,null,
19,126,"Amaj University, Kwali, Abuja",,,2023,NULL,
10,147,"Lighthouse University, Evbobanosa, Edo State",,,2024,null,
11,148,"African University of Economics, FCT, Abuja",,,2024,null,
20,128,"Wigwe University, Isiokpo Rivers State",,https://www.wigweuniversity.edu.ng/fees/,2023,15083100,
21,73,"Skyline University, Kano",Dr. Ajith Kumar V V,https://www.sun.edu.ng,2018,4585929,
22,7,"American University of Nigeria, Yola",Dr. Margee Ensign,https://www.aun.edu.ng,2003,3866904,
23,43,"Pan-Atlantic University, Lagos",Professor Enase Okonedo,https://www.pau.edu.ng,2002,3613017,
24,131,"Elrazi Medical University Yargaya University, Kano State",,https://elrazi.edu.ng/fees/,2023,3103333,
25,70,"PAMO University of Medical Sciences, Portharcourt",Prof. Michael Diejomaoh,https://www.pums.edu.ng,2017,3000000,
26,39,"Nile University of Nigeria, Abuja",Prof. Osman Nuri Aras,https://www.nileuniversity.edu.ng/,2009,2939535,
27,144,"Prime University, Kuje, FCT Abuja",,https://primeuniversity.edu.ng/admission/,2023,2740000,
28,125,"Hensard University, Toru-Orua, Sagbama, Bayelsa State",,https://hensarduniversity.edu.ng/fees,2023,2675000,
29,141,"El-Amin University, Minna, Niger State",,https://www.el-aminuniversity.edu.ng/courses.php,2023,2621786,
30,105,"Nigerian British University, Asa, Abia State","Professor Hakeem Fawehinmi,",https://nbunet.nbu.edu.ng/RRR/optionsOfPay,2022,2579333,
31,145,"Nigerian University of Technology and Management, Apapa, Lagos State",,https://nutmng.org/undergraduate-programs/,2023,2500000,
