,University Name,Website,Year Established,Fees,State,Region
0,"Wigwe University, Isiokpo Rivers State",https://www.wigweuniversity.edu.ng/fees/,2023,15083100.0,Rivers,South-South
1,"Skyline University, Kano",https://www.sun.edu.ng,2018,4585929.0,Kano,North-West
2,"American University of Nigeria, Yola",https://www.aun.edu.ng,2003,3866904.0,Adamawa,North-East
3,"Pan-Atlantic University, Lagos",https://www.pau.edu.ng,2002,3613017.0,Lagos,South-West
4,"Elrazi Medical University Yargaya University, Kano State",https://elrazi.edu.ng/fees/,2023,3103333.0,Kano,North-West
5,"PAMO University of Medical Sciences, Portharcourt",https://www.pums.edu.ng,2017,3000000.0,Rivers,South-South
6,"Nile University of Nigeria, Abuja",https://www.nileuniversity.edu.ng/,2009,2939535.0,FCT Abuja,North-Central
7,"Prime University, Kuje, FCT Abuja",https://primeuniversity.edu.ng/admission/,2023,2740000.0,FCT Abuja,North-Central
8,"Hensard University, Toru-Orua, Sagbama, Bayelsa State",https://hensarduniversity.edu.ng/fees,2023,2675000.0,Bayelsa,South-South
9,"El-Amin University, Minna, Niger State",https://www.el-aminuniversity.edu.ng/courses.php,2023,2621786.0,Niger,North-Central
10,"Nigerian British University, Asa, Abia State",https://nbunet.nbu.edu.ng/RRR/optionsOfPay,2022,2579333.0,Abia,South-East
11,"Nigerian University of Technology and Management, Apapa, Lagos State",https://nutmng.org/undergraduate-programs/,2023,2500000.0,Lagos,South-West
12,"Babcock University,Ilishan-Remo",https://www.babcock.edu.ng,1999,2494065.0,Ogun,South-West
13,"Topfaith University, Mkpatak, Akwa Ibom State",https://topfaith.edu.ng/pg/fees,2021,2346458.0,Akwa Ibom,South-South
14,Baze University,https://www.bazeuniversity.edu.ng,2011,2312500.0,FCT Abuja,North-Central
15,"Eko University of Medical and Health Sciences Ijanikin, Lagos",https://www.ekounivmed.edu.ng,2017,2225000.0,Lagos,South-West
16,"University of Offa, Kwara State",https://unioffa.edu.ng/,2021,2000000.0,Kwara,North-Central
17,"Margaret Lawrence University, Umunede, Delta State",https://mlugalilee.edu.ng/,2022,1680000.0,Delta,South-South
18,"Veritas University, Abuja",https://www.veritas.edu.ng,2007,1555716.0,FCT Abuja,North-Central
19,"Azman University, Kano State",https://www.azmanuniversity.edu.ng/fees,2023,1543350.0,Kano,North-West
20,"Philomath University, Kuje, Abuja",https://www.philomath.edu.ng/tuition-fee/,2021,1516000.0,FCT Abuja,North-Central
21,"African University of Science and Technology, Abuja",http://aust.edu.ng/,2007,1500000.0,FCT Abuja,North-Central
22,"Amadeus University, Amizi, Abia State",https://amadeus.edu.ng/tuition-fees-2/,2023,1489475.0,Abia,South-East
23,"Jewel University, Gombe state",https://jeweluniversity.edu.ng/fees-and-tuition/,2023,1360000.0,Gombe,North-East
24,"Hillside University of Science and Technology, Okemisi, Ekiti State",https://hust.edu.ng/,2023,1323161.0,Ekiti,South-West
25,"Afe Babalola University, Ado-Ekiti - Ekiti State",https://www.abuad.edu.ng,2009,1267500.0,Ekiti,South-West
26,"Adeleke University, Ede",https://www.adelekeuniversity.edu.ng,2011,1260070.0,Osun,South-West
27,"Maryam Abacha American University of Nigeria, Kano State",https://www.maaun.edu.ng/,2021,1259600.0,Kano,North-West
28,"British Canadian University, Obufu Cross River State",https://thebritishcanadianuniversity.com/undergradate-fees/,2023,1250000.0,Cross River,South-South
29,"Canadian University of Nigeria, Abuja",https://bcu.edu.ng/fees-tuition/,2023,1213300.0,FCT Abuja,North-Central
30,"Elizade University, Ilara-Mokin",https://www.elizadeuniversity.edu.ng,2012,1204000.0,Ondo,South-West
31,"Capital City University, Kano State",https://www.ccuk.edu.ng/,2021,1165200.0,Kano,North-West
