,Unnamed: 0,University Name,Website,Year Established,Fees,State,Region
0,0,Wigwe University,https://www.wigweuniversity.edu.ng/fees/,2023,15083100.0,Rivers,South-South
1,1,Skyline University,https://www.sun.edu.ng,2018,4585929.0,Kano,North-West
2,2,American University of Nigeria,https://www.aun.edu.ng,2003,3866904.0,Adamawa,North-East
3,3,Pan-Atlantic University,https://www.pau.edu.ng,2002,3613017.0,Lagos,South-West
4,4,Elrazi Medical University Yargaya University,https://elrazi.edu.ng/fees/,2023,3103333.0,Kano,North-West
5,5,PAMO University of Medical Sciences,https://www.pums.edu.ng,2017,3000000.0,Rivers,South-South
6,6,Nile University of Nigeria,https://www.nileuniversity.edu.ng/,2009,2939535.0,FCT Abuja,North-Central
7,7,Prime University,https://primeuniversity.edu.ng/admission/,2023,2740000.0,FCT Abuja,North-Central
8,8,Hensard University,https://hensarduniversity.edu.ng/fees,2023,2675000.0,Bayelsa,South-South
9,9,El-Amin University,https://www.el-aminuniversity.edu.ng/courses.php,2023,2621786.0,Niger,North-Central
10,10,Nigerian British University,https://nbunet.nbu.edu.ng/RRR/optionsOfPay,2022,2579333.0,Abia,South-East
11,11,Nigerian University of Technology and Management,https://nutmng.org/undergraduate-programs/,2023,2500000.0,Lagos,South-West
12,12,Babcock University,https://www.babcock.edu.ng,1999,2494065.0,Ogun,South-West
13,13,Topfaith University,https://topfaith.edu.ng/pg/fees,2021,2346458.0,Akwa Ibom,South-South
14,14,Baze University,https://www.bazeuniversity.edu.ng,2011,2312500.0,FCT Abuja,North-Central
15,15,Eko University of Medical and Health Sciences Ijanikin,https://www.ekounivmed.edu.ng,2017,2225000.0,Lagos,South-West
16,16,University of Offa,https://unioffa.edu.ng/,2021,2000000.0,Kwara,North-Central
17,17,Margaret Lawrence University,https://mlugalilee.edu.ng/,2022,1680000.0,Delta,South-South
18,18,Veritas University,https://www.veritas.edu.ng,2007,1555716.0,FCT Abuja,North-Central
19,19,Azman University,https://www.azmanuniversity.edu.ng/fees,2023,1543350.0,Kano,North-West
20,20,Philomath University,https://www.philomath.edu.ng/tuition-fee/,2021,1516000.0,FCT Abuja,North-Central
21,21,African University of Science and Technology,http://aust.edu.ng/,2007,1500000.0,FCT Abuja,North-Central
22,22,Amadeus University,https://amadeus.edu.ng/tuition-fees-2/,2023,1489475.0,Abia,South-East
23,23,Jewel University,https://jeweluniversity.edu.ng/fees-and-tuition/,2023,1360000.0,Gombe,North-East
24,24,Hillside University of Science and Technology,https://hust.edu.ng/,2023,1323161.0,Ekiti,South-West
25,25,Afe Babalola University,https://www.abuad.edu.ng,2009,1267500.0,Ekiti,South-West
26,26,Adeleke University,https://www.adelekeuniversity.edu.ng,2011,1260070.0,Osun,South-West
27,27,Maryam Abacha American University of Nigeria,https://www.maaun.edu.ng/,2021,1259600.0,Kano,North-West
28,28,British Canadian University,https://thebritishcanadianuniversity.com/undergradate-fees/,2023,1250000.0,Cross River,South-South
29,29,Canadian University of Nigeria,https://bcu.edu.ng/fees-tuition/,2023,1213300.0,FCT Abuja,North-Central
30,30,Elizade University,https://www.elizadeuniversity.edu.ng,2012,1204000.0,Ondo,South-West
31,31,Capital City University,https://www.ccuk.edu.ng/,2021,1165200.0,Kano,North-West
32,32,Khalifa Isiyaku Rabiu University,https://khairun.edu.ng/,2022,1137500.0,Kano,North-West
33,33,North Eastern University,https://pru.edu.ng/,2022,1115000.0,Gombe,North-East
34,34,Bells University of Technology,https://www.bellsuniversity.edu.ng/,2005,1106545.0,Ogun,South-West
35,35,Covenant University Ota,https://www.covenantuniversity.edu.ng/,2002,1099150.0,Ogun,South-West
36,36,Bowen University,https://www.bowen.edu.ng,2001,1074719.0,Osun,South-West
37,37,Augustine University,https://www.augustineuniversity.edu.ng/,2015,1074432.0,Lagos,South-West
38,38,Rayhaan University,https://rayhaanuniv.edu.ng/pay-my-tuition/,2023,1068888.0,Kebbi,North-West
